Genus,Species,Family,Class,Phylum
Rangia,cuneata,Mactridae,Bivalvia,Mollusca
Polymesoda,caroliniana,Cyrenidae,Bivalvia,Mollusca
Mytilopsis,leucophaeata,Dreissenidae,Bivalvia,Mollusca
Probythinella,emarginata,Hydrobiidae,Gastropoda,Mollusca
Littoridina,sphinctostoma,Cochliopidae,Gastropoda,Mollusca
Hobsonia,florida,Ampharetidae,Polychaeta,Annelida
Aulodrilus,piqueti,Naididae,Ogliochaeta,Annelida
Aulodrilus,pluriseta,Naididae,Ogliochaeta,Annelida
Limnodrilus,hoffmeisteri,Naididae,Ogliochaeta,Annelida
Gammarus,tigrinus,Gammaridae,Malacostraca,Arthropoda
Melita,elongata,Melitidae,Malacostraca,Arthropoda
Cyathura,polita,Anthuridae,Malacostraca,Arthropoda
Corophium,lacustre,Corophiidae,Malacostraca,Arthropoda
Grandidierella,bonnieroidea,Aoridae,Malacostraca,Arthropoda
Rhithropanopeus,harrisii,Panopeidae,Malacostraca,Arthropoda
Taphromysis,louisianae,Mysidae,Malacostraca,Arthropoda
Coelotanypus,halterale,Chironomidae,Insecta,Arthropoda
Polypedilum,sp,Chironomidae,Insecta,Arthropoda
Procladius,sp,Chironomidae,Insecta,Arthropoda